# Wavelength (Angstroms), Moonlight, Continuum, Starlight, Zodiacal Light
1.382361000000000058e+04,6.426877173170197466e+00,1.479108388168207284e+02,2.856225670015852258e-01,2.187761623949553069e+01
1.383469000000000051e+04,3.258367010020087662e+00,1.479108388168207284e+02,2.939379036836613501e-01,2.187761623949553069e+01
1.391223999999999978e+04,9.931160484209337724e+00,1.479108388168207284e+02,3.594525156513489472e-01,2.187761623949553069e+01
1.401195999999999913e+04,8.570378452303696548e+00,1.479108388168207284e+02,4.543562509545301387e-01,2.187761623949553069e+01
1.403412000000000080e+04,6.902398038402418834e+00,1.479108388168207284e+02,4.281516988502341858e-01,2.187761623949553069e+01
1.414047999999999956e+04,1.071519305237606545e+01,1.479108388168207284e+02,4.488433247491827038e-01,2.187761623949553069e+01
1.428736000000000058e+04,1.345860354055948349e+01,1.479108388168207284e+02,6.309076632346380942e-01,2.187761623949553069e+01
1.452162000000000080e+04,1.667247212551062674e+01,1.479108388168207284e+02,7.776796920662180090e-01,2.187761623949553069e+01
1.466565000000000146e+04,1.862087136662867692e+01,1.479108388168207284e+02,8.456679540492811897e-01,2.187761623949553069e+01
1.478752999999999884e+04,1.733803997754138493e+01,1.479108388168207284e+02,5.463140296639730220e-01,2.187761623949553069e+01
1.498695999999999913e+04,2.060629913270000557e+01,1.479108388168207284e+02,5.999295442155526681e-01,2.187761623949553069e+01
1.526615999999999985e+04,2.133044913146576249e+01,1.479108388168207284e+02,6.839445555032461765e-01,2.187761623949553069e+01
1.547445999999999913e+04,2.094112455850892474e+01,1.479108388168207284e+02,7.542010355349088035e-01,2.187761623949553069e+01
